run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,round,spearman_top_feature_stability,previous_top_feature,current_top_feature,client_left,client_right,spearman_rank_correlation,top_k_overlap,top_k,left_top_feature,right_top_feature
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,8.0,0.9935064935064932,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,9.0,0.9922077922077924,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,10.0,0.974025974025974,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,11.0,0.9948051948051948,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,12.0,1.0,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,13.0,0.9987012987012988,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,14.0,0.9948051948051948,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,15.0,0.996103896103896,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,16.0,0.9948051948051948,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,17.0,0.9974025974025976,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,18.0,1.0,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,19.0,0.996103896103896,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,20.0,0.9987012987012988,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,21.0,1.0,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,22.0,0.9987012987012988,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,23.0,1.0,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,24.0,1.0,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,25.0,0.9987012987012988,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,26.0,0.9987012987012988,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,27.0,1.0,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,28.0,0.9987012987012988,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,29.0,1.0,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,30.0,1.0,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,31.0,1.0,GenHlth,GenHlth,,,,,,,
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,0.0,1.0,0.9987012987012988,1.0,5.0,GenHlth,GenHlth
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,0.0,2.0,0.9974025974025976,1.0,5.0,GenHlth,GenHlth
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,0.0,3.0,0.9831168831168832,1.0,5.0,GenHlth,GenHlth
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,0.0,4.0,0.9935064935064932,1.0,5.0,GenHlth,GenHlth
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,1.0,2.0,0.9987012987012988,1.0,5.0,GenHlth,GenHlth
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,1.0,3.0,0.9779220779220776,1.0,5.0,GenHlth,GenHlth
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,1.0,4.0,0.996103896103896,1.0,5.0,GenHlth,GenHlth
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,2.0,3.0,0.9753246753246754,1.0,5.0,GenHlth,GenHlth
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,2.0,4.0,0.9974025974025976,1.0,5.0,GenHlth,GenHlth
cdc_seed44_c5_non_iid_a0p5_calib_f1_optimal,cdc,44,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,,,,,3.0,4.0,0.9688311688311688,1.0,5.0,GenHlth,GenHlth
